  19.471   62.77859  227.585 1.997946e+18 3.857667e+12 4.185696e+23 5.596888e+12 7.537870e+14
  19.368   63.74022  227.643 2.028040e+18 3.866576e+12 4.248745e+23 5.681890e+12 7.653137e+14
  19.265   64.73895  227.741 2.058927e+18 3.865856e+12 4.313453e+23 5.767413e+12 7.771530e+14
  19.162   65.73770  227.840 2.089787e+18 3.861227e+12 4.378105e+23 5.852462e+12 7.889826e+14
  19.059   66.73643  227.938 2.120621e+18 3.854702e+12 4.442701e+23 5.937394e+12 8.007983e+14
  18.956   67.76656  228.002 2.152746e+18 3.848089e+12 4.510003e+23 6.025846e+12 8.131075e+14
  18.853   68.82318  228.038 2.185972e+18 3.828586e+12 4.579611e+23 6.116021e+12 8.258476e+14
  18.751   69.87982  228.073 2.219187e+18 3.806668e+12 4.649196e+23 6.206083e+12 8.385897e+14
  18.648   70.93648  228.109 2.252392e+18 3.782337e+12 4.718762e+23 6.296030e+12 8.513339e+14
  18.545   72.04357  228.076 2.287878e+18 3.762862e+12 4.793105e+23 6.392834e+12 8.649435e+14
  18.442   73.16122  228.028 2.323856e+18 3.749036e+12 4.868478e+23 6.492124e+12 8.787521e+14
  18.339   74.27883  227.981 2.359847e+18 3.732971e+12 4.943880e+23 6.591413e+12 8.925724e+14
  18.236   75.40794  227.938 2.396163e+18 3.715149e+12 5.019962e+23 6.691572e+12 9.065218e+14
  18.133   76.59091  227.921 2.433938e+18 3.710972e+12 5.099100e+23 6.795897e+12 9.210384e+14
  18.030   77.77384  227.904 2.471718e+18 3.711530e+12 5.178249e+23 6.900263e+12 9.355585e+14
  17.927   78.95678  227.886 2.509504e+18 3.710354e+12 5.257410e+23 7.004612e+12 9.500821e+14
  17.825   80.18033  227.887 2.548386e+18 3.708161e+12 5.338868e+23 7.112133e+12 9.650288e+14
  17.722   81.43283  227.900 2.588043e+18 3.695593e+12 5.421949e+23 7.223434e+12 9.802880e+14
  17.619   82.68534  227.914 2.627695e+18 3.680865e+12 5.505022e+23 7.334742e+12 9.955532e+14
  17.516   83.94115  227.930 2.667411e+18 3.664071e+12 5.588225e+23 7.446244e+12 1.010825e+15
  17.413   85.26678  228.015 2.708527e+18 3.617607e+12 5.674364e+23 7.569083e+12 1.026625e+15
  17.310   86.59243  228.100 2.749613e+18 3.543093e+12 5.760440e+23 7.698352e+12 1.042425e+15
  17.207   87.91806  228.185 2.790668e+18 3.464672e+12 5.846450e+23 7.827966e+12 1.058220e+15
  17.104   89.28545  228.312 2.832493e+18 3.383129e+12 5.934072e+23 7.960566e+12 1.074315e+15
  17.001   90.68659  228.473 2.874909e+18 3.295127e+12 6.022935e+23 8.102366e+12 1.090665e+15
