13 13 1.000000 1.000000
7 12 itype_index_2497_0151_2502_-029.dat
7 13 itype_index_2497_0151_2503_-036.dat
8 1 itype_index_2497_0150_2491_-035.dat
8 2 itype_index_2497_0150_2492_-034.dat
8 3 itype_index_2497_0150_2493_-033.dat
8 4 itype_index_2497_0150_2494_-032.dat
8 5 itype_index_2497_0150_2495_-031.dat
8 6 itype_index_2497_0150_2496_-030.dat
8 7 itype_index_2497_0150_2497_-029.dat
8 8 itype_index_2497_0150_2498_-028.dat
8 9 itype_index_2497_0150_2499_-027.dat
8 10 itype_index_2497_0150_2500_-026.dat
8 11 itype_index_2497_0150_2501_-025.dat
8 12 itype_index_2497_0150_2502_-024.dat
8 13 itype_index_2497_0150_2503_-023.dat
9 1 itype_index_2497_0149_2491_-033.dat
9 2 itype_index_2497_0149_2492_-049.dat
9 3 itype_index_2497_0149_2493_-073.dat
9 4 itype_index_2497_0149_2494_-026.dat
9 5 itype_index_2497_0149_2495_-031.dat
9 6 itype_index_2497_0149_2496_-019.dat
9 7 itype_index_2497_0149_2497_-025.dat
9 8 itype_index_2497_0149_2498_-021.dat
9 9 itype_index_2497_0149_2499_-027.dat
9 10 itype_index_2497_0149_2500_-076.dat
9 11 itype_index_2497_0149_2501_-025.dat
9 12 itype_index_2497_0149_2502_-033.dat
9 13 itype_index_2497_0149_2503_-020.dat
10 1 itype_index_2497_0148_2491_-045.dat
10 2 itype_index_2497_0148_2492_-034.dat
10 3 itype_index_2497_0148_2493_-038.dat
10 4 itype_index_2497_0148_2494_-038.dat
10 5 itype_index_2497_0148_2495_-021.dat
10 6 itype_index_2497_0148_2496_-025.dat
10 7 itype_index_2497_0148_2497_-022.dat
10 8 itype_index_2497_0148_2498_-027.dat
10 9 itype_index_2497_0148_2499_-031.dat
10 10 itype_index_2497_0148_2500_-026.dat
10 11 itype_index_2497_0148_2501_-036.dat
10 12 itype_index_2497_0148_2502_-036.dat
10 13 itype_index_2497_0148_2503_-020.dat
11 1 itype_index_2497_0147_2491_-046.dat
11 2 itype_index_2497_0147_2492_-037.dat
11 3 itype_index_2497_0147_2493_-021.dat
11 4 itype_index_2497_0147_2494_-041.dat
11 5 itype_index_2497_0147_2495_-002.dat
11 6 itype_index_2497_0147_2496_-016.dat
11 7 itype_index_2497_0147_2497_-021.dat
11 8 itype_index_2497_0147_2498_-063.dat
11 9 itype_index_2497_0147_2499_-027.dat
11 10 itype_index_2497_0147_2500_-026.dat
11 11 itype_index_2497_0147_2501_-036.dat
11 12 itype_index_2497_0147_2502_-028.dat
11 13 itype_index_2497_0147_2503_-029.dat
12 1 itype_index_2497_0146_2491_-003.dat
12 2 itype_index_2497_0146_2492_-025.dat
12 3 itype_index_2497_0146_2493_-048.dat
12 4 itype_index_2497_0146_2494_-069.dat
12 5 itype_index_2497_0146_2495_-048.dat
12 6 itype_index_2497_0146_2496_-047.dat
12 7 itype_index_2497_0146_2497_-019.dat
12 8 itype_index_2497_0146_2498_-017.dat
12 9 itype_index_2497_0146_2499_-041.dat
12 10 itype_index_2497_0146_2500_-021.dat
12 11 itype_index_2497_0146_2501_-020.dat
12 12 itype_index_2497_0146_2502_-025.dat
12 13 itype_index_2497_0146_2503_-020.dat
13 1 itype_index_2497_0145_2491_-030.dat
13 2 itype_index_2497_0145_2492_-021.dat
13 3 itype_index_2497_0145_2493_-061.dat
13 4 itype_index_2497_0145_2494_-017.dat
13 5 itype_index_2497_0145_2495_-041.dat
13 6 itype_index_2497_0145_2496_-061.dat
13 7 itype_index_2497_0145_2497_-025.dat
13 8 itype_index_2497_0145_2498_-023.dat
13 9 itype_index_2497_0145_2499_-021.dat
13 10 itype_index_2497_0145_2500_-032.dat
13 11 itype_index_2497_0145_2501_-032.dat
13 12 itype_index_2497_0145_2502_-022.dat
13 13 itype_index_2497_0145_2503_-019.dat
